datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_31_26.001,2.074700,37.342,2.013600,35.437,1.629900,24.453,,
2026_05_08_20_31_27.009,2.075500,37.368,2.013600,35.437,1.629900,24.453,,
2026_05_08_20_31_28.000,2.076300,37.393,2.014400,35.461,1.629600,24.445,,
2026_05_08_20_31_29.002,2.076700,37.406,2.015200,35.486,1.630000,24.455,,
2026_05_08_20_31_30.006,2.077100,37.418,2.015500,35.495,1.631500,24.496,,
2026_05_08_20_31_31.006,2.078000,37.447,2.015700,35.501,1.635300,24.600,,
2026_05_08_20_31_32.000,2.078700,37.469,2.014400,35.461,1.640000,24.727,,
2026_05_08_20_31_33.001,2.077900,37.444,2.014500,35.464,1.639900,24.725,,
2026_05_08_20_31_34.007,2.078500,37.463,2.015200,35.486,1.637300,24.654,,
2026_05_08_20_31_35.005,2.078700,37.469,2.016000,35.511,1.635300,24.600,,
2026_05_08_20_31_36.000,2.080000,37.510,2.016300,35.520,1.634100,24.567,,
2026_05_08_20_31_37.006,2.080800,37.536,2.017500,35.557,1.634400,24.575,,
2026_05_08_20_31_38.006,2.081200,37.549,2.018500,35.587,1.633900,24.561,,
2026_05_08_20_31_39.000,2.080800,37.536,2.017700,35.563,1.633600,24.553,,
2026_05_08_20_31_40.007,2.080900,37.539,2.016500,35.526,1.633500,24.551,,
2026_05_08_20_31_41.000,2.080300,37.520,2.016500,35.526,1.632500,24.523,,
2026_05_08_20_31_42.004,2.079300,37.488,2.017100,35.544,1.631700,24.502,,
2026_05_08_20_31_43.009,2.079200,37.485,2.017500,35.557,1.630700,24.474,,
2026_05_08_20_31_44.000,2.079300,37.488,2.017700,35.563,1.630800,24.477,,
2026_05_08_20_31_45.003,2.078500,37.463,2.018300,35.581,1.631600,24.499,,
2026_05_08_20_31_46.008,2.078700,37.469,2.018800,35.597,1.632100,24.512,,
2026_05_08_20_31_47.000,2.078900,37.475,2.018900,35.600,1.632700,24.529,,
2026_05_08_20_31_48.000,2.079500,37.495,2.018700,35.594,1.633200,24.542,,
2026_05_08_20_31_49.002,2.079500,37.495,2.019200,35.609,1.633900,24.561,,
2026_05_08_20_31_50.008,2.079200,37.485,2.019600,35.621,1.634000,24.564,,
2026_05_08_20_31_51.000,2.079300,37.488,2.019900,35.631,1.634400,24.575,,
2026_05_08_20_31_52.010,2.079500,37.495,2.020000,35.634,1.634800,24.586,,
2026_05_08_20_31_53.000,2.079700,37.501,2.020400,35.646,1.634500,24.578,,
2026_05_08_20_31_54.016,2.078900,37.475,2.020800,35.658,1.634700,24.583,,
2026_05_08_20_31_55.007,2.078300,37.456,2.020300,35.643,1.635200,24.597,,
2026_05_08_20_31_56.001,2.079500,37.495,2.019600,35.621,1.634800,24.586,,
2026_05_08_20_31_57.000,2.078900,37.475,2.018700,35.594,1.634800,24.586,,
2026_05_08_20_31_58.000,2.078500,37.463,2.017500,35.557,1.635200,24.597,,
2026_05_08_20_31_59.008,2.078500,37.463,2.017700,35.563,1.635600,24.608,,
2026_05_08_20_32_00.007,2.078900,37.475,2.017200,35.547,1.635200,24.597,,
2026_05_08_20_32_01.003,2.079300,37.488,2.016300,35.520,1.634300,24.572,,
2026_05_08_20_32_02.007,2.080000,37.510,2.015500,35.495,1.632800,24.532,,
2026_05_08_20_32_03.000,2.080000,37.510,2.016100,35.514,1.632000,24.510,,
2026_05_08_20_32_04.000,2.079900,37.507,2.017500,35.557,1.631300,24.491,,
2026_05_08_20_32_05.006,2.080400,37.523,2.018300,35.581,1.630900,24.480,,
2026_05_08_20_32_06.000,2.081200,37.549,2.018700,35.594,1.630300,24.464,,
2026_05_08_20_32_07.000,2.080400,37.523,2.019300,35.612,1.630400,24.466,,
2026_05_08_20_32_08.003,2.078700,37.469,2.019100,35.606,1.630500,24.469,,
2026_05_08_20_32_09.013,2.078400,37.460,2.018100,35.575,1.630500,24.469,,
2026_05_08_20_32_10.000,2.079200,37.485,2.017200,35.547,1.630800,24.477,,
2026_05_08_20_32_11.009,2.078700,37.469,2.017900,35.569,1.631200,24.488,,
2026_05_08_20_32_12.001,2.079100,37.482,2.018400,35.584,1.631600,24.499,,
2026_05_08_20_32_13.001,2.079600,37.498,2.018400,35.584,1.631700,24.502,,
2026_05_08_20_32_14.005,2.080700,37.533,2.017700,35.563,1.632800,24.532,,
2026_05_08_20_32_15.005,2.080400,37.523,2.016900,35.538,1.634400,24.575,,
2026_05_08_20_32_16.000,2.080100,37.514,2.016700,35.532,1.636400,24.629,,
2026_05_08_20_32_17.008,2.080500,37.526,2.017300,35.551,1.639200,24.706,,
2026_05_08_20_32_18.000,2.080100,37.514,2.017500,35.557,1.640800,24.749,,
2026_05_08_20_32_19.010,2.080000,37.510,2.016400,35.523,1.640700,24.747,,
2026_05_08_20_32_20.001,2.078900,37.475,2.015200,35.486,1.639100,24.703,,
2026_05_08_20_32_21.000,2.078300,37.456,2.016400,35.523,1.635900,24.616,,
2026_05_08_20_32_22.000,2.078400,37.460,2.017200,35.547,1.633700,24.556,,
2026_05_08_20_32_23.008,2.079900,37.507,2.016900,35.538,1.632300,24.518,,
2026_05_08_20_32_24.001,2.080000,37.510,2.016800,35.535,1.630900,24.480,,
2026_05_08_20_32_25.001,2.080300,37.520,2.018400,35.584,1.630700,24.474,,
2026_05_08_20_32_26.007,2.081500,37.558,2.019900,35.631,1.631100,24.485,,
2026_05_08_20_32_27.000,2.082100,37.577,2.020500,35.649,1.631200,24.488,,
2026_05_08_20_32_28.000,2.082700,37.596,2.021200,35.671,1.631300,24.491,,
2026_05_08_20_32_29.010,2.082500,37.590,2.019100,35.606,1.631300,24.491,,
2026_05_08_20_32_30.004,2.082800,37.599,2.019700,35.624,1.631300,24.491,,
2026_05_08_20_32_31.000,2.083300,37.615,2.020500,35.649,1.631100,24.485,,
2026_05_08_20_32_32.009,2.083900,37.634,2.021500,35.680,1.630700,24.474,,
2026_05_08_20_32_33.000,2.083500,37.622,2.021300,35.674,1.631100,24.485,,
2026_05_08_20_32_34.001,2.082900,37.603,2.020300,35.643,1.630700,24.474,,
2026_05_08_20_32_35.006,2.081600,37.561,2.018700,35.594,1.630700,24.474,,
2026_05_08_20_32_36.001,2.081300,37.552,2.018800,35.597,1.630800,24.477,,
2026_05_08_20_32_37.000,2.082000,37.574,2.020500,35.649,1.631100,24.485,,
2026_05_08_20_32_38.005,2.081900,37.571,2.020900,35.661,1.631700,24.502,,
2026_05_08_20_32_39.007,2.081100,37.545,2.019600,35.621,1.632100,24.512,,
2026_05_08_20_32_40.010,2.079900,37.507,2.018800,35.597,1.632500,24.523,,
2026_05_08_20_32_41.002,2.080300,37.520,2.020000,35.634,1.632900,24.534,,
2026_05_08_20_32_42.000,2.080000,37.510,2.020100,35.637,1.633300,24.545,,
2026_05_08_20_32_43.000,2.080000,37.510,2.020900,35.661,1.633200,24.542,,
2026_05_08_20_32_44.010,2.080100,37.514,2.022100,35.698,1.632400,24.521,,
2026_05_08_20_32_45.000,2.079500,37.495,2.021600,35.683,1.631900,24.507,,
2026_05_08_20_32_46.004,2.080400,37.523,2.021700,35.686,1.631500,24.496,,
2026_05_08_20_32_47.010,2.080700,37.533,2.021500,35.680,1.631300,24.491,,
2026_05_08_20_32_48.007,2.081700,37.564,2.021200,35.671,1.631100,24.485,,
2026_05_08_20_32_49.000,2.082700,37.596,2.021500,35.680,1.630800,24.477,,
2026_05_08_20_32_50.006,2.083500,37.622,2.022100,35.698,1.630400,24.466,,
2026_05_08_20_32_51.000,2.083600,37.625,2.022700,35.717,1.630300,24.464,,
2026_05_08_20_32_52.004,2.082900,37.603,2.023200,35.732,1.629900,24.453,,
2026_05_08_20_32_53.004,2.083100,37.609,2.023900,35.754,1.629900,24.453,,
2026_05_08_20_32_54.001,2.083300,37.615,2.023500,35.742,1.629300,24.436,,
2026_05_08_20_32_55.000,2.084000,37.638,2.023300,35.735,1.628900,24.426,,
2026_05_08_20_32_56.000,2.084700,37.660,2.022500,35.711,1.629300,24.436,,
2026_05_08_20_32_57.007,2.084900,37.666,2.022400,35.708,1.629500,24.442,,
2026_05_08_20_32_58.004,2.085300,37.679,2.020900,35.661,1.629600,24.445,,
2026_05_08_20_32_59.001,2.085700,37.692,2.020300,35.643,1.630100,24.458,,
2026_05_08_20_33_00.008,2.084900,37.666,2.020700,35.655,1.630500,24.469,,
2026_05_08_20_33_01.000,2.084400,37.650,2.021100,35.668,1.631500,24.496,,
2026_05_08_20_33_02.004,2.084300,37.647,2.021500,35.680,1.631200,24.488,,
2026_05_08_20_33_03.000,2.083600,37.625,2.021900,35.692,1.630900,24.480,,
2026_05_08_20_33_04.009,2.082800,37.599,2.021900,35.692,1.630500,24.469,,
2026_05_08_20_33_05.003,2.082100,37.577,2.023300,35.735,1.629900,24.453,,
2026_05_08_20_33_06.006,2.081900,37.571,2.024100,35.760,1.629900,24.453,,
2026_05_08_20_33_07.000,2.082400,37.587,2.024000,35.757,1.629500,24.442,,
2026_05_08_20_33_08.008,2.083100,37.609,2.023300,35.735,1.630300,24.464,,
2026_05_08_20_33_09.000,2.083700,37.628,2.022800,35.720,1.630500,24.469,,
